ID,Brand,Product Name,Product Price,Purchases in Past Month,Total Reviews,AVG Rating,Gender,Date Uploaded
1039,Damyuan,Mens Lightweight Athletic Running Walking Gym Shoes Casual Sports Shoes Fashion Sneakers Walking Shoes,26.79,200,7884,4,Men's,2023-10-31
1040,Brooks,Men's Adrenaline GTS 22 Supportive Running Shoe,99.95,100,11915,4.7,Men's,2023-10-31
1041,Brooks,Women's Adrenaline GTS 22 Supportive Running Shoe,99.95,800,15091,4.6,Women's,2023-10-31
1042,adidas,Women's Swift Run Shoes,65,800,601,4.4,Women's,2023-10-31
1043,Brooks,Women's Ghost 14 Neutral Running Shoe,84.95,800,32764,4.7,Women's,2023-10-31
1044,adidas,Women's Swift Run Shoes,65,600,501,4.4,Women's,2023-10-31
1045,Brooks,Women’s Trace 2 Neutral Running Shoe,74.95,400,2108,4.6,Women's,2023-10-31
1046,adidas,Women's Cloudfoam Pure 2.0 Running Shoe,49.94,700,86129,4.5,Women's,2023-10-31
1047,ASICS,Women's GT-2000 10 Running Shoes,49,400,2794,4.5,Women's,2023-10-31
1048,adidas,Women's Swift Run Shoes,54.99,200,257,4.3,Women's,2023-10-31
1049,adidas,Women's Puremotion Adapt,55.67,500,21655,4.4,Women's,2023-10-31
1050,ASICS,Women's Gel-Contend 7 Running Shoes,44,300,17315,4.4,Women's,2023-10-31
1051,ASICS,Women's Gel-Nimbus 24 Running Shoes,84,900,4189,4.5,Women's,2023-10-31
1052,Under Armour,Women's Charged Assert 9,55,200,19176,4.5,Women's,2023-10-31
1053,Nike,Women's Race Running Shoe,50,200,4598,4.2,Women's,2023-10-31
1054,ASICS,Women's Gel-Venture 8 Running Shoes,44.95,200,19919,4.4,Women's,2023-10-31
1055,adidas,Women's Cloudfoam Pure Running Shoe,35.55,300,673,4.5,Women's,2023-10-31
1056,ASICS,Women's Gel-Excite 9 Running Shoes,47.04,300,5910,4.5,Women's,2023-10-31
1057,Brooks,Women’s Launch 9 Neutral Running Shoe,63.99,200,3562,4.6,Women's,2023-10-31
1058,ALTRA,Women's AL0A7R78 Torin 6 Road Running Shoe,58.05,200,614,4.2,Women's,2023-10-31
1059,Brooks,Women's Ghost 15 Neutral Running Shoe,139.52,200,3554,4.7,Women's,2023-10-31
1060,Brooks,Women's Ghost 14 GTX Waterproof Neutral Running Shoe,109.95,100,689,4.3,Women's,2023-10-31
1061,Jeiento,Women Trainers Sports Running Shoes Causal Travel Walking Flat Shoe Lace-up Breathable for Lady Teenager Girls,16.49,50,334,4.3,Women's,2023-10-31
1062,PUMA,Women's Riaze Prowl Running Shoes,50.99,100,9833,4.4,Women's,2023-10-31
1063,ASICS,Women's Gel-Kayano 29 Running Shoes,90,700,880,4.3,Women's,2023-10-31
1064,On,ON Women's Cloud 5 Trainers,140,100,4236,4.4,Women's,2023-10-31
1065,ALTRA,Women's Torin 5,70.3,100,1636,4.1,Women's,2023-10-31
1066,HOKA ONE ONE,Women's Running Shoes,154.89,50,520,4.4,Women's,2023-10-31
1067,ALTRA,Women's AL0A548E Lone Peak 6 Trail Running Shoe,89.99,100,2084,4.5,Women's,2023-10-31
1068,GANNOU,Women's Air Athletic Running Shoes Fashion Sport Gym Jogging Tennis Fitness Sneaker US5.5-11,39.99,100,18406,4.1,Women's,2023-10-31
1069,WHITIN,Women's Barefoot & Minimalist Shoe | Zero Drop Sole | Trail Runner,43.99,100,9085,4.3,Women's,2023-10-31
1070,ASICS,Women's VERSABLAST 2 Running Shoes,49.95,100,558,4.4,Women's,2023-10-31
1071,ASICS,Women's GT-1000 11 Running Shoes,72.22,100,1190,4.6,Women's,2023-10-31
1072,ALTRA,Women's AL0A5484 Paradigm 6 Road Running Shoe,89.83,100,667,4.5,Women's,2023-10-31
1073,adidas,Women's Swift Run Shoes,48,100,270,4.6,Women's,2023-10-31
1074,Nike,Women's Stroke Running Shoe,64.99,0,714,4.6,Women's,2023-10-31
1075,ASICS,Women's Gel-Cumulus 24 Running Shoes,69.01,50,1369,4.6,Women's,2023-10-31
1076,New Balance,Women's Fresh Foam X 1080 V12 Running Shoe,123.97,100,1851,4.5,Women's,2023-10-31
1077,Joomra,Women's Minimalist Trail Running Barefoot Shoes | Wide Toe Box | Zero Drop,37.75,100,20432,4.3,Women's,2023-10-31
1078,ALTRA,Women's AL0A5483 Superior 5 Trail Running Shoe,66.84,100,1008,4.4,Women's,2023-10-31
1079,Brooks,Women's Glycerin 20 Neutral Running Shoe,156.82,100,2333,4.6,Women's,2023-10-31
1080,Saucony,Women's Triumph 20 Running Shoe,76.36,50,490,4.3,Women's,2023-10-31
1081,HOKA ONE ONE,"Women's Running Shoes, 10.5 US",160.92,50,160,4.4,Women's,2023-10-31
1082,Saucony,Women's Ride 15 Running Shoe,59.98,50,956,4.4,Women's,2023-10-31
1083,Under Armour,Women's Charged Assert 10 Running Shoe,56.25,200,338,4.3,Women's,2023-10-31
1084,adidas,Women's Swift Run Shoes,65,100,76,4.5,Women's,2023-10-31
1085,New Balance,"womens Fresh Foam Roav V1 Running Shoe Sneaker, Black/Light Aluminum, 6.5 US",0,100,254,4.4,Women's,2023-10-31
1086,Brooks,Women's Cascadia 16 Trail Running Shoe,77.31,50,786,4.5,Women's,2023-10-31
1087,JENN ARDOR,Womens Slip On Sneakers Walking Tennis Shoes Fashion Lightweight Casual Lace Up Running Sneakers for Gym Ladies Breathable Mesh Shoes Comfortable,19.99,0,61,4.1,Women's,2023-10-31
1088,Brooks,Women's Glycerin GTS 20 Supportive Running Shoe,159.95,100,1687,4.6,Women's,2023-10-31
1089,VAMJAM,Men's Running Shoes Ultra Lightweight Breathable Walking Shoes Non Slip Athletic Fashion Sneakers Mesh Workout Casual Sports Shoes,34.99,100,7540,4.1,Women's,2023-10-31
1090,Feethit,Mens Slip On Walking Shoes Blade Tennis Shoes Non Slip Running Shoes Lightweight Workout Shoes Breathable Mesh Fashion Sneakers,37.99,100,5781,4.2,Women's,2023-10-31
1091,Five Ten,Freerider Pro Primeblue,128,0,57,4.6,Women's,2023-10-31
1092,Luogoks,Men's Walking Shoes Runing Shoes Lightweight Casual Working Jogging Outdoor Shoe Fashion Sports Athletic Shoes,23.99,0,25,4.4,Women's,2023-10-31
1093,ASICS,Women's Gel-Nimbus 25 Platinum Running Shoes,119.95,0,24,4.5,Women's,2023-10-31
1094,HOKA ONE ONE,"Hoka One Women's Running Shoes, Sun Baked Shell Coral, 9",153,0,5,3.2,Women's,2023-10-31
1095,ASICS,Unisex METASPEED Edge+ Running Shoes,250,0,9,4.5,Women's,2023-10-31
1096,VJ,Shoes XTRM 2 OCR Shoes - Trail Running Shoes Women and Mens with a Full Length Rock Plate - Made for Rocky and Technical Mountain Trails and Obstacle Course Races,170,0,7,3.9,Women's,2023-10-31
1097,Ahico,Men Walking Shoes Fashion Sneaker Running Athletic Non Slip Platform Socks Shoe Stylish Casual Fitness Comfortable Sports,29.99,0,422,4,Women's,2023-10-31
1098,Brooks,Women's Dyad 11 Running Shoe - Blue/Navy/Beetroot - 8 X-Wide,129.95,0,20,4.5,Women's,2023-10-31
1099,New Balance,Women's More V2 Trail Running Shoe,164.45,0,578,4.3,Women's,2023-10-31
1100,New Balance,"Women's Fresh Foam Roav V1 Running Shoe, White/Black/Surf, 6.5 Wide",0,0,1,5,Women's,2023-10-31
1101,adidas,Women's Terrex Trailrider GTX Trail Running Shoe,101.34,0,4,4.7,Women's,2023-10-31
1102,earthinglife,Barefoot Minimalist Shoe for Women Men Lightweight Running Slip On | Zero Drop Sole | Wide Toe Box Trail Runner,30.99,0,19,4.1,Women's,2023-10-31
1103,New Balance,Women's FuelCell Rebel V3 Running Shoe,92.03,0,65,4.2,Women's,2023-10-31
1104,New Balance,Women's Fresh Foam Arishi V3 Running Shoe,0,0,132,4.3,Women's,2023-10-31
1105,New Balance,Women's Dynasoft Nitrel V5 Trail Running Shoe,63.74,0,425,4.2,Women's,2023-10-31
1106,WHITIN,Men's Wide Casual Barefoot Sneakers | Zero Drop Sole | Minimalist Style,39.99,0,352,4.4,Women's,2023-10-31
1107,PUMA,Women's Softride Rift Breeze Running Shoe,44.95,0,155,4.3,Women's,2023-10-31
1108,ALTRA,Women's AL0A7R76 Olympus 5 Low GTX Trail Running Shoe,199.95,0,32,4,Women's,2023-10-31
1109,New Balance,"Women's Fresh Foam Roav V1 Running Shoe, Paper White/Gum, 9.5 Wide",84.95,0,2,5,Women's,2023-10-31
1110,Under Armour,Women's Essential Sneaker,45.44,0,1852,4.4,Women's,2023-10-31
1111,adidas,"Women's Supernova Running Shoe, Core Black/White/Magic Grey, 5.5",43.25,0,1,5,Women's,2023-10-31
1112,Sonzj-II,Rasta Shoes Men Women Running Sneakers Breathable Casual Sport Tennis Shoes Jamaican Rasta Reggae African Gift,59.99,0,1,5,Women's,2023-10-31
1113,Topo Athletic,"Women's MTN Racer 2 Comfortable Lightweight 5MM Drop Trail Running Shoes, Athletic Shoes for Trail Running",144.95,0,0,0,Women's,2023-10-31
1114,adidas,womens Edge Lux 4 Running Shoe,88,0,1388,4.2,Women's,2023-10-31
1115,ALTRA,Women's AL0A4VR7 Lone Peak 5 Trail Running Shoe,99.99,0,1644,4.7,Women's,2023-10-31
1116,adidas,Women's Runfalcon 2.0 Running Shoe,54.99,0,2561,4.5,Women's,2023-10-31
1117,New Balance,Women's Fresh Foam X 860 V12 Running Shoe,0,0,1152,4.5,Women's,2023-10-31
1118,ALTRA,Women's AL0A5482 Lone Peak Alpine Trail Running Shoe,122.54,0,109,4.3,Women's,2023-10-31
1119,Karhu,"Women’s Ikoni Running Shoe - High Cushion Support Shoes for Runners/Lightweight, Comfortable & Breathable Support/Perfect for Active Lifestyle",105,0,34,4.5,Women's,2023-10-31
1120,Nike,Women's Low-Top Sneakers,105.56,0,47,4.6,Women's,2023-10-31
1121,adidas,Women's Adizero Adios 7 Sneaker,71.01,0,23,4.2,Women's,2023-10-31
1122,CORE,Trail Running Shoes - Water Resistant Hiking Running Shoes for Outdoor Sports - Breathable Lightweight Sports Running Shoes for Men and Women,29,0,5,3.4,Women's,2023-10-31
1123,adidas,Women's Solar Boost 21 Running Shoe,101.96,0,76,4.3,Women's,2023-10-31
1124,New Balance,Women's Fresh Foam X 840f V1 Running Shoe,139.95,0,21,3.8,Women's,2023-10-31
1125,New Balance,"Women's Fresh Foam Roav V1 Running Shoe, Summer Aqua/Cosmic Rose/Black, 6 Wide",74.95,0,0,0,Women's,2023-10-31
1126,Nike,womens Running Shoes,73.9,0,8,4.2,Women's,2023-10-31
1127,New Balance,"Women's Fresh Foam Arishi V3 Road Running Shoe, White, 8.5",64.99,0,12,4.4,Women's,2023-10-31
1128,Nike,Women's Air Max 2021 Wht/Thunder Bl/Pure Platinum/Archaeo Pink (DC9478 100),149.01,0,103,4.4,Women's,2023-10-31
1129,New Balance,"Women's Fresh Foam Roav V1 Running Shoe, Pigment/Grey, 8.5",71.96,0,47,4,Women's,2023-10-31
1130,Brooks,Mens Glycerin 16 Running Shoe,128.99,0,3055,4.6,Women's,2023-10-31
1131,adidas,Women's Puremotion Super Running Shoe,42.02,0,415,4.3,Women's,2023-10-31
1132,Brooks,unisex-adult Trace,99.9,0,72,4.5,Women's,2023-10-31
1133,La Sportiva,Women's Bushido II GTX Trail Running Shoes,184.95,0,23,4.2,Women's,2023-10-31
1134,adidas,x Karlie Kloss X9000 Shoes Women's,83.95,0,6,4.7,Women's,2023-10-31
1135,adidas,Women's Ultraboost 22 GTX Running Shoe,112.7,0,26,3.9,Women's,2023-10-31
1136,HOKA ONE ONE,Hoka Kawana Women's Everyday Running Shoe - Black / Copper - Size 7,150.58,0,3,5,Women's,2023-10-31
1137,DUOYANGJIASHA,Women's Athletic Road Running Mesh Breathable Casual Sneakers Lace Up Comfort Sports Student Fashion Tennis Shoes,27.9,0,15309,4.2,Women's,2023-10-31
1138,New Balance,Women's Beaya V1 Slip-On Running Shoe,29.99,0,1542,4.4,Women's,2023-10-31
1139,ASICS,Women's Patriot 12 Running Shoes,50,0,545,4.6,Women's,2023-10-31
1140,New Balance,"Women's Fresh Foam Roav V1 Running Shoe, Electric Purple/Multi, 7",80.88,0,1,4,Women's,2023-10-31
1141,AMLANG,Womens Walking Running Shoes Non-Slip Athletic Tennis Breathable Fashion Sneakers,45.99,0,473,4.3,Women's,2023-10-31
1142,Pujcs,Women Running Shoes Lightweight Tennis Shoes Non Slip Gym Workout Shoes Breathable Mesh Walking Womens Sneakers,23.19,0,1118,4,Women's,2023-10-31
1143,Abboos,Womens Slip On Sneakers Women Walking Tennis Shoes Lightweight Casual Sneakers for Gym Travel Work,32.99,0,2933,4.3,Women's,2023-10-31
1144,Feethit,Womens Running Shoes Lightweight Walking Tennis Shoes Non Slip Comfortable Fashion Sneakers,26.27,0,3463,4.3,Women's,2023-10-31
1145,adidas,Women's Ultraboost 22 GTX Running Shoe,112.7,0,26,3.9,Women's,2023-10-31
1146,HOKA ONE ONE,Hoka Kawana Women's Everyday Running Shoe - Black / Copper - Size 7,150.58,0,3,5,Women's,2023-10-31
1147,DUOYANGJIASHA,Women's Athletic Road Running Mesh Breathable Casual Sneakers Lace Up Comfort Sports Student Fashion Tennis Shoes,27.9,0,15309,4.2,Women's,2023-10-31
1148,New Balance,Women's Beaya V1 Slip-On Running Shoe,29.99,0,1542,4.4,Women's,2023-10-31
1149,ASICS,Women's Patriot 12 Running Shoes,50,0,545,4.6,Women's,2023-10-31
1150,New Balance,"Women's Fresh Foam Roav V1 Running Shoe, Electric Purple/Multi, 7",80.88,0,1,4,Women's,2023-10-31
1151,SAGUARO,Men's Women's Barefoot Minimalist Shoes Athletic Hiking Water Shoes for Aqua Swimming Trail Running Cross Training,32.99,0,2626,4.4,Women's,2023-10-31
1152,adidas,Women's Sl20.3 Running Shoe,46.53,0,142,4.4,Women's,2023-10-31
1153,New Balance,"Women's Fresh Foam Roav V1 Running Shoe, Grey Matter/Summer Aqua/Cosmic Rose, 7.5 Wide",64.95,0,1,5,Women's,2023-10-31
1154,Nike,Women's Stroke Running Shoe,88.96,0,238,4.6,Women's,2023-10-31
1155,ALTRA,Women's AL0A7R7I Lone Peak All-WTHR Low 2 Trail Running Shoe,159.95,0,10,3,Women's,2023-10-31
1156,Topo Athletic,"Women's Specter Comfortable Lightweight 5MM Drop Road Running Shoes, Athletic Shoes for Road Running",159.95,0,1,4,Women's,2023-10-31
1157,adidas,Women's Duramo Protect Running Shoe,83.95,0,366,4.3,Women's,2023-10-31
1158,Under Armour,Women's Surge 3 Print Running Shoe,43.33,0,28,4.6,Women's,2023-10-31
1159,Nike,Womens Air Max Pre Day Running Trainers Dh5106 Sneakers Shoes,169.99,0,7,5,Women's,2023-10-31
1160,New Balance,Women's Fresh Foam Roav Elite V1 Running Shoe,60.99,0,83,4.2,Women's,2023-10-31
1161,Saucony,Women's Guide 10 Running Shoe,50.96,0,2481,4.5,Women's,2023-10-31
1162,New Balance,"Women's Fresh Foam Roav V1 Running Shoe, Grey Matter/Summer Aqua/Cosmic Rose, 9.5 Wide",64.95,0,0,0,Women's,2023-10-31
1163,New Balance,"Women's Fresh Foam Roav V1 Running Shoe, Summer Aqua/Cosmic Rose/Black, 6",74.95,0,0,0,Women's,2023-10-31
1164,adidas,"Women's Response Super Running Shoe, 0",59.63,0,1181,4.2,Women's,2023-10-31
1165,L-RUN,Athletic Hiking Water Shoes Mens Womens Barefoot Aqua Swim Walking Shoes,32.99,0,17477,4.5,Women's,2023-10-31
1166,Reebok,Women's Lite 3.0 Running Shoe,44.79,0,121,4.3,Women's,2023-10-31
1167,Brooks,Women's Dyad 11 Running Shoe - Ombre/Primrose/Lavender - 11 X-Wide,129.95,0,8,4.7,Women's,2023-10-31
1168,New Balance,"Women's Fresh Foam Roav V1 Running Shoe, Electric Purple/Multi, 6.5 Wide",0,0,3,3.2,Women's,2023-10-31
1169,Topo Athletic,Phantom 3 - Men's,144.95,0,27,3.7,Women's,2023-10-31
1170,adidas,Unisex-Adult Ultraboost DNA Sneaker,100.95,0,5495,4.7,Women's,2023-10-31
1171,New Balance,"Women's Fresh Foam Roav V1 Running Shoe, Black/Green/White, 5.5",0,0,5,4.7,Women's,2023-10-31
1172,Fila,at Peake 24,23.94,0,16,4.6,Women's,2023-10-31
1173,Mizuno,Women's Wave Prophecy 12 Running Shoe,249.95,0,31,3.9,Women's,2023-10-31
1174,Jeiento,Christmas Shoes for Womens Athletic Running Shoes Fashion Tennis Shoes Walking Sneakers,15.99,0,30,4.4,Women's,2023-10-31
1175,TSLA,"Women's Trail Running Shoes, Lightweight Athletic Zero Drop Barefoot Shoes, Non Slip Outdoor Walking Minimalist Shoes",33.98,0,296,3.7,Women's,2023-10-31
1176,adidas,womens Running Shoes,100,0,0,0,Women's,2023-10-31
1177,New Balance,Women's Fresh Foam X Hierro V1 Mid-Cut Trail Running Shoe,133.93,0,147,4.1,Women's,2023-10-31
1178,adidas,Women's Cloudfoam Pure 2.0 Running Shoe,70,0,220,4.2,Women's,2023-10-31
1179,RBX,"Active Women's Running Shoe, Lace Up Knit Mesh Flexible Lightweight Sneaker",32.99,0,43,4,Women's,2023-10-31
1180,New Balance,"Women's Fresh Foam Roav V1 Running Shoe, Dark Ember/Raisin, 8.5",94,0,6,4.6,Women's,2023-10-31
1181,New Balance,Women's FuelCell Supercomp Trainer Running Shoe,143.81,0,2,4.5,Women's,2023-10-31
1182,Dannto,Men Women Running Shoes Lightweight Breathable Walking Sneakers Athletic Tennis Sport Gym Fashion On Cloud,18.89,0,313,4.2,Women's,2023-10-31
1183,Soulsfeng,Womens Running Shoes Lightweight Breathable Tennis Shoes Non Slip Fashion Walking Sneakers,39.99,0,524,4.3,Women's,2023-10-31
1184,Under Armour,Men’s Charged Bandit Trail 2,67.5,0,2233,4.5,Women's,2023-10-31
1185,Nike,Womens Air Presto Black/Black/White Running Shoe Sz,0,0,114,4.1,Women's,2023-10-31
1186,adidas,Women's Terrex Soulstride Trail Running Shoes,57,0,263,4.4,Women's,2023-10-31
1187,Brooks,Men’s Levitate 6 Neutral Running Shoe,149.95,0,39,4.7,Women's,2023-10-31
1188,New Balance,"Women's Fresh Foam Roav V1 Running Shoe, Nimbus Cloud/Peach Glaze/Vibrant Pink, 10.5",0,0,2,5,Women's,2023-10-31
1189,adidas,Women's NMD_r1 Running Shoe,0,0,42504,4.6,Women's,2023-10-31
1190,New Balance,"Women's Fresh Foam Roav V1 Running Shoe, Paper White/Gum, 5.5",84.95,0,0,0,Women's,2023-10-31
1191,Brooks,Women’s Hyperion Max Neutral Running Shoe,167.99,0,42,4.9,Women's,2023-10-31
1192,Mizuno,Women's Wave Rebellion Running Shoe,79,0,43,3.7,Women's,2023-10-31
1193,Weweya,Barefoot Shoes for Women Minimalist Running Cross Training Shoe,39.99,0,2342,4.1,Women's,2023-10-31
1194,Autper,Women's Air Athletic Tennis Running Sneakers Lightweight Sport Gym Jogging Breathable Fashion Walking Shoes(US 5.5-10),39.99,0,3170,4.2,Women's,2023-10-31
1195,Pozvnn,Mens Running Shoes Air Cushion Fashion Sneakers Casual Tennis Walking Athletic Trainers Zapatillas para Hombre,35.99,0,278,4.5,Women's,2023-10-31
1196,Soulsfeng,Mens Running Shoes Mesh Breathable Lightweight Cushioning Training Athletic Sneakers,31.99,50,4828,4.4,Women's,2023-10-31
1197,New Balance,"Women's Fresh Foam Roav V1 Running Shoe, Paper White/Gum, 5.5",84.95,0,0,0,Women's,2023-10-31
1198,Brooks,Women’s Hyperion Max Neutral Running Shoe,167.99,0,42,4.9,Women's,2023-10-31
1199,Mizuno,Women's Wave Rebellion Running Shoe,79,0,43,3.7,Women's,2023-10-31
1200,adidas,"Originals Women's NMD_R1 Primeknit Running Shoe, ice Blue/ice Blue/White, 10.5",112.99,0,0,0,Women's,2023-10-31
1201,InterestPrint,Women's Running Shoes Lightweight Non-Slip Breathable Walking Shoes (US6-US15),43.99,0,160,4.1,Women's,2023-10-31
1202,Nike,Men's Low-Top Trainers Sneaker,0,0,3491,4.4,Women's,2023-10-31
1203,New Balance,"Women's Fresh Foam Roav V1 Running Shoe, Dark Ember/Raisin, 7",84,0,3,5,Women's,2023-10-31
1204,HOKA ONE ONE,"Women's Bondi 7 Running Shoe, Black/White, 7",0,0,27,4.8,Women's,2023-10-31
1205,La Sportiva,Womens Wildcat 2.0 GTX Trail Running Shoes,174.95,0,53,4.2,Women's,2023-10-31
1206,Under Armour,Unisex-Adult Brigade Xc Low Spikeless Running Shoe,52.32,0,53,3.5,Women's,2023-10-31
1207,Brooks,womens Adrenaline Gts 21,114.95,0,2897,4.7,Women's,2023-10-31
1208,New Balance,"Women's Fresh Foam Roav V1 Running Shoe, Pink Glo/Blue Chill/Black, 5.5",0,0,0,0,Women's,2023-10-31
1209,Maichal,Womens Running Shoes Air Cushion Lightweight Sneakers,37.88,0,3209,4.2,Women's,2023-10-31
1210,Nike,Womens Zoom Winflo 8 Shield Running Trainers Dc3730 Sneakers Shoes,69.58,0,1,5,Women's,2023-10-31
1211,Brooks,Womens Range Running Shoe,67.89,0,591,4.4,Women's,2023-10-31
1212,adidas,Women's Lite Racer 2.0 Running Shoe,59.99,0,817,4.6,Women's,2023-10-31
1213,Saucony,Unisex-Adult Women's Cohesion 11 Running Shoe,41.95,0,7533,4.6,Women's,2023-10-31
1214,Nike,Women's Stroke Running Shoe,112.98,0,862,4.4,Women's,2023-10-31
1215,New Balance,"Women's Fresh Foam Roav V1 Running Shoe, Black/White/Bright Lapis, 8 Wide",72.7,0,2,5,Women's,2023-10-31
1216,SCARPA,Women's Spin Ultra Trail Shoes for Hiking and Trail Running,0,0,15,3.7,Women's,2023-10-31
1217,On,"Cloudmonster 61.99026 Women's Running Shoes, Acai/Lavender",0,0,11,4.1,Women's,2023-10-31
1218,Skechers,Women's Go Run Trail Altitude-Backwoods Trail Running Shoes,54.95,0,4,4.7,Women's,2023-10-31
1219,ZZFABER,"Barefoot Women and Men Shoes with Zero Drop Heel, Wide Toe Box and Flexible Sole | Minimalist Running Shoes | Barefoot Shoes for Men and Women for Workouts, Hiking |Size 6-12",36,0,23,4.1,Women's,2023-10-31
1220,Akk,Womens Air Running Shoes - Athletic Non Slip Tennis Walking Shoes for Gym Jogging Workout Women Sneakers,27.99,0,265,4.1,Women's,2023-10-31
1221,New Balance,"Women's Fresh Foam Roav V1 Running Shoe, Pink Glo/Blue Chill/Black, 8.5",0,0,19,4.1,Women's,2023-10-31
1222,Mizuno,Women's Wave Horizon 5 Running Shoe,120,0,138,4.6,Women's,2023-10-31
1223,On,ON Women's Cloudflow Trainers,179,0,1122,4.5,Women's,2023-10-31
1224,New Balance,Women's Fresh Foam X Vongo V5 Running Shoe,95.9,0,2,5,Women's,2023-10-31
1225,Topo Athletic,"Women's Phantom 2 Comfortable Lightweight 5MM Drop Road Running Shoes, Athletic Shoes for Road Running",138.94,0,196,4.5,Women's,2023-10-31
1226,HOKA ONE ONE,"Hoka One Women's Running Shoes, 10 US",195.95,0,138,4.4,Women's,2023-10-31
1227,Saucony,Women's Versafoam Flare Running Shoe,59.9,0,924,4.4,Women's,2023-10-31
1228,New Balance,"Women's Fresh Foam Roav V1 Running Shoe, Gray/Gray, 9.5 Wide",0,0,17,4.2,Women's,2023-10-31
1229,adidas,Terrex Speed Ultra Trail Running Shoes Men's,111.99,0,67,4.4,Women's,2023-10-31
1230,adidas,Women's Duramo Sl 2.0 Running Shoe,0,0,213,4.4,Women's,2023-10-31
1231,Topo Athletic,"Women's Cyclone Comfortable Lightweight 5MM Drop Road Running Shoes, Athletic Shoes for Road Running",83.28,0,58,4.1,Women's,2023-10-31
1232,adidas,Women's Alphabounce+ Running Shoe,69.82,0,34,3.9,Women's,2023-10-31
1233,Craft,Sportswear Women's CTM Ultra 3 Running Shoe,0,0,2,2.7,Women's,2023-10-31
1234,On,ON CLOUDSWIFT,204.6,0,1455,4.5,Women's,2023-10-31
1235,adidas,"Women's Duramo Sl 2.0 Running Shoe, White/Silver Metallic/Grey One, 10",51.86,0,17,4.1,Women's,2023-10-31
1236,Brooks,Men’s Levitate GTS 6 Supportive Running Shoe,149.95,0,42,4.4,Women's,2023-10-31
1237,adidas,Women's Response Super 3.0 Running Shoe,53.31,0,182,4.3,Women's,2023-10-31
1238,ASICS,Women's Gel-Pulse 13 All Winter Long Running Shoes,0,0,9,4.3,Women's,2023-10-31
1239,ASICS,Gel-Nimbus 20 Women's Running Shoe,64.87,0,2939,4.5,Women's,2023-10-31
1240,Vibram,"Women's FiveFingers, V-Run Running Shoe, Black/Yellow/Purple, 6.5-7 M US",129.43,0,37,4,Women's,2023-10-31
1241,New Balance,"Women's Fresh Foam Roav V1 Running Shoe, White/Black/Surf, 7.5 Wide",60.87,0,5,4.7,Women's,2023-10-31
1242,New Balance,"Women's Fresh Foam Roav V1 Running Shoe, Summer Aqua/Cosmic Rose/Black, 7.5",74.95,0,2,5,Women's,2023-10-31
1243,Brooks,Women's Launch 8 Neutral Running Shoe,114.66,0,5295,4.7,Women's,2023-10-31
1244,Brooks,Women's Launch GTS 8 Supportive Running Shoe (Ravenna),89.95,0,2732,4.6,Women's,2023-10-31
1245,Damyuan,Mens Lightweight Athletic Running Walking Gym Shoes Casual Sports Shoes Fashion Sneakers Walking Shoes,26.79,200,7884,4,Women's,2023-10-31
1246,Saucony,Women's Triumph 19 Running Shoe,59.99,0,1338,4.5,Women's,2023-10-31
1247,Pozvnn,Mens Running Shoes Air Cushion Fashion Sneakers Casual Tennis Walking Athletic Trainers Zapatillas para Hombre,35.99,0,278,4.5,Women's,2023-10-31
1248,Srenket,Mens Slip on Running Walking Shoes Blade Tennis Casual Fashion Sneakers Comfort Non Slip Work Sport Athletic Trainer,37.99,0,351,4.3,Women's,2023-10-31
1249,New Balance,"Women's Fresh Foam Roav V1 Running Shoe, Summer Aqua/Cosmic Rose/Black, 7.5",74.95,0,2,5,Women's,2023-10-31
1250,Brooks,Women's Launch 8 Neutral Running Shoe,114.66,0,5295,4.7,Women's,2023-10-31
1251,Brooks,Women's Launch GTS 8 Supportive Running Shoe (Ravenna),89.95,0,2732,4.6,Women's,2023-10-31
1252,New Balance,womens Mrcelcp3,195.94,0,8,4.3,Women's,2023-10-31
1253,On,"ON Cloudgo 55.98622 Women's Running Shoes, Rose/Magnet",180,0,8,4.1,Women's,2023-10-31
1254,New Balance,Women's Fresh Foam X 880v12 Running Shoe,0,0,3,3.3,Women's,2023-10-31
1255,Nike,"Women's Air Zoom Pegasus 37 Shield Running Shoe, CQ8639-003",0,0,137,4.3,Women's,2023-10-31
1256,Craft,Sportswear Women's PRO Endur Distance Running Shoe,104.99,0,10,4.8,Women's,2023-10-31
1257,ASICS,Women's Gel-Kinsei Blast LE Running Shoes,99.95,0,38,4.2,Women's,2023-10-31
1258,Nike,Womens Legend Essential 2 PRM Running Trainers Cz3668 Sneakers Shoes,67.62,0,7,3.8,Women's,2023-10-31
1259,New Balance,"Women's Fresh Foam X 1080 Unlaced V1 Running Shoe, White/Black/Vibrant Green/Bubblegum, 5",102.03,0,248,4.4,Women's,2023-10-31
1260,Brooks,Women's Dyad 11 Running Shoe - Ombre/Primrose/Lavender - 7 Medium,129.95,0,6,4.5,Women's,2023-10-31
1261,Nike,React Phantom Run Fk 2 Mens Shoes,0,0,835,4.4,Women's,2023-10-31
1262,Saucony,"Women's Kinvara 13 Running Shoe, White/Blck/Vizi, 8",52.59,0,2,5,Women's,2023-10-31
1263,On,"ON Cloudvista 64.98592 Women's Running Shoes, Midnight/Copper",166.61,0,7,3.8,Women's,2023-10-31
1264,New Balance,"Women's Fresh Foam Roav V1 Running Shoe, Summer Aqua/Cosmic Rose/Black, 9 Wide",74.95,0,7,5,Women's,2023-10-31
