ID,Brand,Product Name,Product Price,Purchases in Past Month,Total Reviews,AVG Rating,Gender,Date Uploaded
52,SDolphin,Men's Running Shoes Sneakers - Tennis Workout Walking Gym Athletic Rubber Sole Breathable Comfortable Non Slip Fashion Shoes,49.99,0,1271,4.3,Men's,2023-10-31
53,PUMA,Men's Axelion Sleek,74.23,0,2127,4.5,Men's,2023-10-31
54,New Balance,Women's Fresh Foam X 860 V12 Running Shoe,105,0,1781,4.5,Men's,2023-10-31
55,New Balance,Men's Fresh Foam 880v11,0,0,1474,4.5,Men's,2023-10-31
56,Nike,Roshe Run Rosherun Iguana NSW Mens Sportswear Running Shoes 511881-201,45,0,0,0,Men's,2023-10-31
57,ASICS,Men's Gel-Nimbus 23 Running Shoes,0,0,5382,4.6,Men's,2023-10-31
58,New Balance,"Men's Fresh Foam Arishi V3 Running Shoe, Black/Phantom/Deep Earth Red, 11.5 X-Wide",52.95,0,4,4.7,Men's,2023-10-31
59,adidas,Men's Alphaboost V1 Running Shoe,57.95,0,110,4.5,Men's,2023-10-31
60,ASICS,Men's Gel-Excite Trail Running Shoes,49.95,0,956,4.6,Men's,2023-10-31
61,Mizuno,Men's Wave Rebellion Running Shoe,69.99,0,119,4.1,Men's,2023-10-31
62,ASICS,Men's Jogger X81 Sportstyle Shoes,59.9,0,98,4.6,Men's,2023-10-31
63,Saucony,Men's Triumph 17 Running Shoe,92.33,0,3228,4.6,Men's,2023-10-31
64,ASICS,Men's Hyper Speed 2 Running Shoes,69.95,0,30,4.6,Men's,2023-10-31
65,M MAGPER,Mens Air Running Shoes Athletic Non Slip Walking Jogging Tennis Sneakers(US 7-12.5 D(M))…,42.99,0,1288,4.2,Men's,2023-10-31
66,Brooks,Men’s Levitate StealthFit 5 Neutral Running Shoe,71.48,0,807,4.5,Men's,2023-10-31
67,ALTRA,Men's AL0A546Z Superior 5 Trail Running Shoe,69.63,0,1218,4.3,Men's,2023-10-31
68,Topo Athletic,"Men's Phantom 2 Comfortable Lightweight 5MM Drop Road Running Shoes, Athletic Shoes for Road Running",98,0,174,4.2,Men's,2023-10-31
69,adidas,Men's Puremotion Running Shoe,35.99,0,352,4.5,Men's,2023-10-31
70,Nike,Women's Race Running Shoe,106.7,0,781,4.5,Men's,2023-10-31
71,Nike,Women's Stroke Running Shoe,55.97,0,1329,4.4,Men's,2023-10-31
72,Saucony,Unisex-Adult Excursion TR11 Running Shoe,42.95,0,4024,4.6,Men's,2023-10-31
73,New Balance,Men's 680v6 Cushioning Running Shoe,66,0,11354,4.6,Men's,2023-10-31
74,adidas,"Unisex-Adult Adizero SL Running Shoes Men's, Grey, Size 11",66,0,2,5,Men's,2023-10-31
75,adidas,"Men's Ultraboost 5.0 Alphaskin Running Shoe, White/White/White, 13",170,0,11,4.5,Men's,2023-10-31
76,Nike,"Men's Athletics Shoes, 10.5 AU",176.8,0,2192,4.5,Men's,2023-10-31
77,Nike,Men's Sneaker,65.77,0,206,4.3,Men's,2023-10-31
78,adidas,Men's SL20 Running Shoe,30.99,0,283,4.6,Men's,2023-10-31
79,ASICS,Men's GT-II Shoes,99.98,0,161,4.6,Men's,2023-10-31
80,Nike,Men's Todos Running Shoe,98,0,2245,4.3,Men's,2023-10-31
81,Vivobarefoot,mens Low-top,159.95,0,136,4.3,Men's,2023-10-31
82,New Balance,"Men's Fresh Foam Arishi V3 Running Shoe, Black/Orca/Silver Metallic, 12 X-Wide",69.95,0,24,4.4,Men's,2023-10-31
83,New Balance,Men's FuelCell Supercomp Elite V3 Running Shoe,219.99,0,65,4.5,Men's,2023-10-31
84,Nike,Men's Sneaker,93.97,0,115,4.5,Men's,2023-10-31
85,Salomon,Men's XA PRO 3D Gore-TEX Trail Running Shoes,169.95,0,7729,4.5,Men's,2023-10-31
86,Nike,Men's Sneaker,90.6,0,3786,4.2,Men's,2023-10-31
87,Nike,Men's Sneaker,88.01,0,7014,4.4,Men's,2023-10-31
88,New Balance,"Men's Fresh Foam Arishi V3 Running Shoe, Angora/Timberwolf/Night Tide, 13 X-Wide",53.95,0,6,4.5,Men's,2023-10-31
89,HOKA ONE ONE,"Men's Gymnastics Shoes Sneaker, 8.5 US",219.94,0,1434,4.5,Men's,2023-10-31
90,adidas,Swift Run 22 Shoes Men's,57.7,0,51,4.3,Men's,2023-10-31
91,adidas,Galaxy 5 Mens Adult Running Fitness Trainer Shoe Black/White,50,0,398,4.6,Men's,2023-10-31
92,HOKA ONE ONE,"Men's Low-Top Sneakers, 0",152.71,0,47,4,Men's,2023-10-31
93,Brooks,Mens Divide Running Shoe,69.94,0,279,4.4,Men's,2023-10-31
94,adidas,Men's Ultraboost 22 Cool.rdy Running Shoe,0,0,133,4.2,Men's,2023-10-31
95,ASICS,Gel-Nimbus 21 Men's Running Shoe,119.87,0,5243,4.6,Men's,2023-10-31
96,adidas,Men's Supernova,70,0,1471,4.4,Men's,2023-10-31
97,Topo Athletic,Phantom 3 - Men's,144.95,0,27,3.7,Men's,2023-10-31
98,Nike,Men's Child (4-8 Years) Low-top Trainers,91.01,0,2065,4.4,Men's,2023-10-31
99,ON,"Men's Cloudswift Running Shoes, Alloy/Eclipse, 11",169.99,0,6,4.8,Men's,2023-10-31
100,SOBASO,Mens Hiking Shoes Trail Running Shoes Stylish Slip Resistant Fitness Walking Jogging Sock Sneakers,11.12,0,997,4,Men's,2023-10-31
101,Brooks,Men's Adrenaline GTS 22 Supportive Running Shoe,99.95,100,11915,4.7,Men's,2023-10-31
102,Under Armour,Men's Charged Assert 10 Running Shoe,56.25,0,1299,4.5,Men's,2023-10-31
103,TSIODFO,Mens Running Shoes Athletic Walking Sneakers,39.9,0,3660,4.1,Men's,2023-10-31
104,wanhee,Men's Sneakers Athletic Sport Running Shoes,39.9,0,2819,4.2,Men's,2023-10-31
105,ON,"Men's Cloudflyer 4 Running Shoe, Black/White, 9",163.6,0,2,5,Men's,2023-10-31
106,Vibram,"Men's Five Fingers, EL-X Shoe",85.95,0,2897,4.5,Men's,2023-10-31
107,GoodValue,Men's Trail Running Shoes Waterproof Hiking Shoes Cushioning Outdoor Walking Sneakers All Terrain Trekking Rugged Trail,25.99,0,1644,3.7,Men's,2023-10-31
108,adidas,Men's Terrex Trailrider Trail Running Shoe,66.82,0,198,4.5,Men's,2023-10-31
109,New Balance,Men's Fresh Foam X Evoz V3 Running Shoe,80.28,0,119,4.5,Men's,2023-10-31
110,Saucony,Men's Guide 10 Running Shoes,72.95,0,1103,4.5,Men's,2023-10-31
111,Nike,Men's Race Running Shoe,0,0,7014,4.4,Men's,2023-10-31
112,SKDOIUL,Sport Running Shoes for Mens Mesh Breathable Trail Runners Fashion Sneakers,39.99,0,8431,4.1,Men's,2023-10-31
113,ASICS,Men's Fuji Lite 2 Running Shoes,69.45,0,95,4.5,Men's,2023-10-31
114,ASICS,Men's Magic Speed 2 Running Shoes,99.95,0,71,4.5,Men's,2023-10-31
115,adidas,Men's X9000l4 Running Shoe,119.9,0,1153,4.4,Men's,2023-10-31
116,Nike,Men's Epic Phantom React FK Sneaker,159,0,88,4.3,Men's,2023-10-31
117,Saucony,Men's Cohesion 15 Running Shoes,46.73,0,12,4.7,Men's,2023-10-31
118,Nike,Air Max Flyknit Racer,101.54,0,185,4,Men's,2023-10-31
119,Nike,mens Running Shoes,131.3,0,7,4.1,Men's,2023-10-31
120,adidas,Men's Ultraboost Cold.rdy Running Shoe,125.2,0,567,4.2,Men's,2023-10-31
121,New Balance,Men's Xc Seven V4 Running Shoe,50.48,0,66,4.5,Men's,2023-10-31
122,adidas,"Men's Ultraboost 5.0 Alphaskin Running Shoe, White/White/White, 11.5",0,0,5,4.8,Men's,2023-10-31
123,Brooks,Men’s Levitate StealthFit GTS 5 Supportive Running Shoe,130.66,0,246,4.5,Men's,2023-10-31
124,Fila,Men's Tri Runner Leather Shoe,49.9,0,274,4.3,Men's,2023-10-31
125,adidas,"Men's Ultraboost 5.0 Alphaskin Running Shoe, Shadow Navy/Wonder Steel/Impact Orange, 9",108.27,0,4,4,Men's,2023-10-31
126,New Balance,Men's Fresh Foam X Vongo V5 Running Shoe,0,0,538,4.5,Men's,2023-10-31
127,PUMA,Mens Axelion Nxt Camo Wide Running Sneakers Shoes - Black,49.95,0,0,0,Men's,2023-10-31
128,Slow Man,Men's Running Shoes - Men's Walking Shoes Knit Mesh Breathable Athletic Sneakers Slip On Tennis Comfortable Cushioning Lightweight Gym Sport Shoes,39.99,0,2634,4.2,Men's,2023-10-31
129,adidas,"Men's Ultraboost 5.0 Alphaskin Running Shoe, Shadow Navy/Wonder Steel/Impact Orange, 11.5",97.99,0,8,4.4,Men's,2023-10-31
130,RBX,"Active Men's Airy Mesh Athletic Sneaker, Lightweight Running Training Shoe",29.9,0,149,4.2,Men's,2023-10-31
131,Under Armour,Men's HOVR Intake 6 Running Shoe,100,0,12,3.9,Men's,2023-10-31
132,ASICS,Men's Gel-Nimbus 24 Mesh Knit Running Shoes,99.95,0,98,4,Men's,2023-10-31
133,adidas,Men's Ownthegame Basketball Shoe,58.99,0,5935,4.5,Men's,2023-10-31
134,On,Cloudace,0,0,69,4,Men's,2023-10-31
135,Nike,mens Modern,110.02,0,24,4.6,Men's,2023-10-31
136,ASICS,Men's Gel-Quantum Lyte Sportstyle Shoes,54.95,0,22,4.8,Men's,2023-10-31
137,Dr. Comfort,Endurance Plus Mens Athletic Shoes w/Gel Inserts-Therapeutic Diabetic Mens Running Shoes,0,0,65,4.4,Men's,2023-10-31
138,Saucony,Men's Freedom 5 Running Shoe,85.05,0,45,4.2,Men's,2023-10-31
139,Under Armour,Men's Charged Escape 3 Bl Running Shoe,67.82,0,691,4.7,Men's,2023-10-31
140,New Balance,"Men's Fresh Foam Arishi V3 Running Shoe, Gunmetal/Steel/Black, 9.5",69.95,0,191,4.4,Men's,2023-10-31
141,O-Resilio,Men's Road Running Shoes Marathon Running Shoes Carbon Fiber Plate Running Shoes Wide with Arch Support Lightweight Breathable Sneakers ONEMIX Light Armor 21601,129.99,0,19,4.6,Men's,2023-10-31
142,On,Men's Cloud 5 Combo Sneakers,135,0,112,4.5,Men's,2023-10-31
143,New Balance,"Men's Fresh Foam Arishi V3 Running Shoe, Angora/Timberwolf/Night Tide, 13",51.95,0,6,4.1,Men's,2023-10-31
144,ASICS,Men's GlideRide 3 Running Shoes,119.95,0,52,4.5,Men's,2023-10-31
145,New Balance,"Men's Fresh Foam X 860 V12 Running Shoe, Mountain Teal/Sulphur Yellow, 9.5 M",86.5,0,7,3.8,Men's,2023-10-31
146,Under Armour,Men's Charged Pursuit 3 Tech Running Shoe,55.97,0,95,4.5,Men's,2023-10-31
147,adidas,Men's Ultraboost 20 Running Shoe,0,0,4109,4.7,Men's,2023-10-31
148,New Balance,Men's Fresh Foam Roav V2 Running Shoe,51.95,0,851,4.3,Men's,2023-10-31
149,ASICS,Men's WalkRide FlyteFoam Running Shoes,79.95,0,18,4.4,Men's,2023-10-31
150,PaSick,Men's Air Running Shoes Tennis Jogging Gym Fashion Sneaker Lightweight Knitting Breathable Athletic Walking Shoes US 7-12.5,39.99,0,489,4.1,Men's,2023-10-31
151,Nike,Mens Roshe One Running Shoes Wolf Grey/White 511881-023 Size 8.5,56.29,0,52,4.2,Men's,2023-10-31
152,Under Armour,Men's Charged Vantage 2 2e Running Shoe,64.97,0,913,4.4,Men's,2023-10-31
153,Under Armour,Men's Charged Assert 10 Running Shoe,56.25,0,1299,4.5,Men's,2023-10-31
154,LCGJR,Men's Running Shoes Ultra Lightweight Breathable Comfortable Walking Shoes Casual Fashion Sneakers Mesh Workout Shoes,29.99,0,1686,4.2,Men's,2023-10-31
155,Mishansha,Men's Running Walking Shoes Air Sneaker Sport Gym Tennis Shoes US Men 7.5-15,39.99,0,1672,4.2,Men's,2023-10-31
156,Srenket,Mens Slip on Running Walking Shoes Blade Tennis Casual Fashion Sneakers Comfort Non Slip Work Sport Athletic Trainer,37.99,0,351,4.3,Men's,2023-10-31
157,Xero Shoes,Men’s Prio Suede Cross Training Shoe - Comfortable Performance Running Shoes for Men,114.99,0,28,4,Men's,2023-10-31
158,SAGUARO,Men's Women's Barefoot Minimalist Shoes Athletic Hiking Water Shoes for Aqua Swimming Trail Running Cross Training,32.99,0,2626,4.4,Men's,2023-10-31
159,CHUUMEE,Men's New Air Cushion Running Shoes Comfortable Cushioning Fashion,30.66,0,0,0,Men's,2023-10-31
160,Reebok,Men's Floatride Energy City Running Shoe,0,0,10,3.9,Men's,2023-10-31
161,adidas,mens Modern,105,0,1,5,Men's,2023-10-31
162,Nike,Men's Running Shoe,84.98,0,1676,4.4,Men's,2023-10-31
163,adidas,"Swift Run 22 Shoes Men's, Blue, Size 10.5",47.18,0,51,4.3,Men's,2023-10-31
164,adidas,Performance Men's Pureboost Running Shoe,120,0,4028,4.4,Men's,2023-10-31
165,PUMA,Mens Axelion Refresh Wide Sneakers Shoes - Black,79.95,0,4,3.4,Men's,2023-10-31
166,ASICS,Men's GT-4000 3 Running Shoes,129.83,0,48,4.5,Men's,2023-10-31
167,adidas,Men's Grand Court Tennis Shoes,98.11,0,42504,4.6,Men's,2023-10-31
168,Brooks,Men’s Divide 3 Trail Running Shoe,99.18,0,303,4.6,Men's,2023-10-31
169,Mizuno,Men's Wave Sky 5 Running Shoe,84.34,0,250,4.4,Men's,2023-10-31
170,Gravity Defyer,Men's G-Defy XLR8 Run - VersoCloud Multi-Density Shock Absorbing Performance Long Distance Running Shoes,130,0,584,4.1,Men's,2023-10-31
171,New Balance,"Men's Fresh Foam Arishi V3 Running Shoe, Angora/Timberwolf/Night Tide, 9.5",51.95,0,11,4.3,Men's,2023-10-31
172,TSIODFO,Mens Running Shoes Athletic Walking Sneakers,39.9,0,3660,4.1,Men's,2023-10-31
173,ECCO,Men's Biom 2.1 Low Textile Trail Running Shoe,92.95,0,199,4.1,Men's,2023-10-31
174,adidas,Men's Nebzed Super Running Shoe,64.33,0,72,4.4,Men's,2023-10-31
175,Nike,Men's Gymnastics Shoes,0,0,389,4.5,Men's,2023-10-31
176,New Balance,"Men's Fresh Foam Arishi V3 Running Shoe, Magnet/Phantom/Harvest Gold, 9 X-Wide",50.95,0,1,1,Men's,2023-10-31
177,ON,mens Running Shoes,138.69,0,4,5,Men's,2023-10-31
178,adidas,Men's Supernova + Running Shoe,69.46,0,858,4.4,Men's,2023-10-31
179,ON,"Men's Cloudswift Running Shoes, Ice/Oasis, 9.5",139.79,0,2,5,Men's,2023-10-31
180,New Balance,"Men's Fresh Foam Arishi V3 Running Shoe, Black/Orange, 13 X-Wide",69.95,0,3,3.7,Men's,2023-10-31
181,Topo Athletic,"Men's MTN Racer 2 Comfortable Lightweight 5MM Drop Trail Running Shoes, Athletic Shoes for Trail Running",108.7,0,119,4.5,Men's,2023-10-31
182,New Balance,Men's Made in Us 1540 V2 Running Shoe,250.65,0,1597,4.5,Men's,2023-10-31
183,Topo Athletic,"Men's Magnifly 4 Comfortable Cushioned Durable 0MM Drop Road Running Shoes, Athletic Shoes for Road Running",129.95,0,1,4,Men's,2023-10-31
184,HOKA ONE ONE,"Men's Running Shoe, 8 US",189.69,0,207,4.5,Men's,2023-10-31
185,Brooks,Men's Signal 3 Neutral Running Shoe,0,0,98,4.5,Men's,2023-10-31
186,adidas,Alphatorsion 360 Running Shoe,0,0,1024,4.2,Men's,2023-10-31
187,Nike,Men's Lunarcharge Essential Ankle-High Running Shoe,129.9,0,562,4.4,Men's,2023-10-31
188,Under Armour,Men's Street Encounter Iv CNV,48.75,0,6489,4.6,Men's,2023-10-31
189,Saucony,"Men's Endorphin Speed 2 Running Shoe, Jackalope, 12",109,0,3,4.7,Men's,2023-10-31
190,Brooks,Anthem 4 Men's Neutral Running Shoe,59.99,0,765,4.5,Men's,2023-10-31
191,Under Armour,Men's Mojo 2 Road --Running Shoe,59.95,0,2483,4.5,Men's,2023-10-31
192,adidas,Men's Web Boost Running Shoe,89.5,0,144,4.3,Men's,2023-10-31
193,Under Armour,Men's Micro G Pursuit Bp Running Shoe,47.68,0,3318,4.5,Men's,2023-10-31
194,Brooks,Men's Revel 4 Neutral Running Shoe,76.95,0,4285,4.6,Men's,2023-10-31
195,adidas,Men's Flex 2 Trail Running Shoe,52.28,0,206,4.5,Men's,2023-10-31
196,ASICS,Men's Evoride 2 Running Shoes,69.9,0,1202,4.5,Men's,2023-10-31
